# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cpu-cycles'
# Event count (approx.): 1777120
#
# Overhead  Command  Source Shared Object  Source Symbol                                                Target Symbol                                                Basic Block Cycles
# ........  .......  ....................  ...........................................................  ...........................................................  ..................
#
     4.53%  wrk      wrk                   [.] lj_alloc_free                                            [.] lj_alloc_free                                            -                 
     4.35%  wrk      wrk                   [.] lj_tab_len                                               [.] lj_tab_len                                               -                 
     3.38%  wrk      wrk                   [.] gc_sweep                                                 [.] gc_sweep                                                 -                 
     3.29%  wrk      wrk                   [.] gc_onestep                                               [.] gc_onestep                                               -                 
     3.29%  wrk      wrk                   [.] lj_meta_cat                                              [.] lj_meta_cat                                              -                 
     2.56%  wrk      wrk                   [.] propagatemark                                            [.] propagatemark                                            -                 
     2.47%  wrk      wrk                   [.] lj_str_new                                               [.] lj_str_new                                               -                 
     2.36%  wrk      wrk                   [.] lj_alloc_malloc                                          [.] lj_alloc_malloc                                          -                 
     1.68%  wrk      wrk                   [.] lj_gc_step                                               [.] gc_onestep                                               -                 
     1.66%  wrk      wrk                   [.] lj_gc_step                                               [.] lj_gc_step                                               -                 
     1.59%  wrk      wrk                   [.] memcpy@plt                                               [.] _nl_parse_alt_digit                                      -                 
     1.50%  wrk      wrk                   [.] gc_onestep                                               [.] gc_sweep                                                 -                 
     1.46%  wrk      wrk                   [.] lj_BC_TGETS                                              [.] lj_BC_TGETS                                              -                 
     1.42%  wrk      wrk                   [.] lj_str_resize                                            [.] lj_str_resize                                            -                 
     1.38%  wrk      wrk                   [.] gc_onestep                                               [.] lj_gc_step                                               -                 
     1.38%  wrk      wrk                   [.] lj_cf_math_random                                        [.] lj_cf_math_random                                        -                 
     1.35%  wrk      wrk                   [.] gc_sweep                                                 [.] gc_onestep                                               -                 
     1.10%  wrk      wrk                   [.] lj_BC_LEN                                                [.] lj_BC_LEN                                                -                 
     1.04%  wrk      wrk                   [.] lj_alloc_f                                               [.] lj_alloc_f                                               -                 
     0.96%  wrk      wrk                   [.] lj_meta_cat                                              [.] memcpy@plt                                               -                 
     0.90%  wrk      libc-2.31.so          [.] __vfwprintf_internal                                     [.] __vfwprintf_internal                                     -                 
     0.86%  wrk      [vdso]                [.] gettimeofday                                             [.] gettimeofday                                             -                 
     0.80%  wrk      libc-2.31.so          [.] _nl_parse_alt_digit                                      [.] _nl_cleanup_time                                         -                 
     0.78%  wrk      wrk                   [.] lj_cf_math_random                                        [.] lj_lib_checknum                                          -                 
     0.78%  wrk      wrk                   [.] aeProcessEvents                                          [.] aeProcessEvents                                          -                 
     0.78%  wrk      wrk                   [.] lj_lib_checknum                                          [.] lj_cf_math_random                                        -                 
     0.76%  wrk      wrk                   [.] lj_lib_checknum                                          [.] lj_lib_checknum                                          -                 
     0.73%  wrk      wrk                   [.] http_parser_execute                                      [.] http_parser_execute                                      -                 
