# Overhead  Command  Source Shared Object  Source Symbol                                         Target Symbol                                         Basic Block Cycles
     0.70%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                          [k] __x86_indirect_thunk_rax                          -                 
     0.55%  wrk      libc-2.31.so          [k] __opendirat                                       [k] __opendirat                                       -                 
     0.38%  wrk      [kernel.kallsyms]     [k] nf_hook_slow                                      [k] nf_hook_slow                                      -                 
     0.31%  wrk      [kernel.kallsyms]     [k] __netif_receive_skb_core                          [k] __netif_receive_skb_core                          -                 
     0.27%  wrk      [kernel.kallsyms]     [k] fib_table_lookup                                  [k] fib_table_lookup                                  -                 
     0.24%  wrk      [kernel.kallsyms]     [k] nf_ct_get_tuple                                   [k] nf_ct_get_tuple                                   -                 
     0.23%  wrk      [kernel.kallsyms]     [k] nf_conntrack_in                                   [k] nf_conntrack_in                                   -                 
     0.20%  wrk      [kernel.kallsyms]     [k] nf_hook_slow                                      [k] __x86_indirect_thunk_rax                          -                 
     0.20%  wrk      [kernel.kallsyms]     [k] __x64_sys_epoll_ctl                               [k] __x64_sys_epoll_ctl                               -                 
     0.19%  wrk      [kernel.kallsyms]     [k] ipt_do_table                                      [k] ipt_do_table                                      -                 
     0.17%  wrk      [kernel.kallsyms]     [k] psi_task_change                                   [k] psi_task_change                                   -                 
     0.17%  wrk      [kernel.kallsyms]     [k] __default_send_IPI_dest_field                     [k] __default_send_IPI_dest_field                     -                 
     0.16%  wrk      [kernel.kallsyms]     [k] do_csum                                           [k] do_csum                                           -                 
     0.16%  wrk      [kernel.kallsyms]     [k] __dev_queue_xmit                                  [k] __dev_queue_xmit                                  -                 
     0.15%  wrk      [kernel.kallsyms]     [k] vxlan_xmit_one                                    [k] vxlan_xmit_one                                    -                 
     0.14%  wrk      [kernel.kallsyms]     [k] dev_hard_start_xmit                               [k] dev_hard_start_xmit                               -                 
     0.13%  wrk      [kernel.kallsyms]     [k] validate_xmit_skb                                 [k] validate_xmit_skb                                 -                 
     0.13%  wrk      [kernel.kallsyms]     [k] ip_route_me_harder                                [k] ip_route_me_harder                                -                 
     0.13%  wrk      [kernel.kallsyms]     [k] nf_conntrack_tcp_packet                           [k] nf_conntrack_tcp_packet                           -                 
     0.12%  wrk      [kernel.kallsyms]     [k] ip_finish_output2                                 [k] ip_finish_output2                                 -                 
     0.11%  wrk      [kernel.kallsyms]     [k] ipv4_mtu                                          [k] ipv4_mtu                                          -                 
     0.11%  wrk      [kernel.kallsyms]     [k] ip_vs_in.part.0                                   [k] ip_vs_in.part.0                                   -                 
