# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:ppp'
# Event count (approx.): 1045
#
# Overhead  Command      Source Shared Object   Source Symbol                            Target Symbol                            Basic Block Cycles
# ........  ...........  .....................  .......................................  .......................................  ..................
#
     1.82%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] pthread_mutex_lock@plt               3                 
     1.72%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] pthread_mutex_lock@plt               1                 
     1.53%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] pthread_mutex_unlock@plt             1                 
     1.53%  mc-lrumaint  memcached              [.] lru_pull_tail.part.0                 [.] pthread_mutex_unlock@plt             3                 
     1.53%  mc-lrumaint  memcached              [.] lru_pull_tail.part.0                 [.] lru_maintainer_thread                3                 
     1.44%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] pthread_mutex_unlock@plt             2                 
     1.15%  mc-lrumaint  memcached              [.] lru_pull_tail.part.0                 [.] pthread_mutex_lock@plt               6                 
     1.05%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] pthread_mutex_unlock@plt             4                 
     0.96%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             35                
     0.86%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] pthread_mutex_lock@plt               4                 
     0.57%  mc-lrumaint  memcached              [.] fill_item_stats_automove             [.] pthread_mutex_unlock@plt             5                 
     0.57%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] lru_pull_tail.part.0                 4                 
     0.57%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] lru_pull_tail.part.0                 3                 
     0.57%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] lru_pull_tail.part.0                 2                 
     0.57%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] bipbuf_peek_all                      1                 
     0.57%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             51                
     0.57%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                23                
     0.48%  mc-lrumaint  memcached              [.] slabs_available_chunks               [.] lru_maintainer_thread                2                 
     0.48%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] pthread_mutex_lock@plt               3                 
     0.48%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] pthread_mutex_lock@plt               2                 
     0.48%  mc-lrumaint  memcached              [.] lru_maintainer_thread                [.] pthread_mutex_unlock@plt             1                 
     0.48%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             34                
     0.48%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] lru_pull_tail.part.0                 31                
     0.48%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             50                
     0.48%  mc-lrumaint  [kernel.kallsyms]      [k] intel_pmu_pebs_enable_all            [k] __intel_pmu_enable_all.constprop.23  1                 
     0.48%  mc-lrumaint  [kernel.kallsyms]      [k] perf_output_copy                     [k] perf_output_sample                   6                 
     0.48%  mc-lrumaint  [kernel.kallsyms]      [k] perf_output_copy                     [k] perf_output_sample                   3                 
     0.48%  memcached    [kernel.kallsyms]      [k] sched_clock                          [k] native_sched_clock                   1                 
     0.48%  memcached    [kernel.kallsyms]      [k] perf_output_copy                     [k] perf_output_sample                   6                 
     0.48%  memcached    [kernel.kallsyms]      [k] perf_output_copy                     [k] perf_output_sample                   3                 
     0.48%  memcached    [kernel.kallsyms]      [k] perf_output_copy                     [k] memcpy                               11                
     0.38%  mc-lrumaint  memcached              [.] slabs_available_chunks               [.] pthread_mutex_lock@plt               3                 
     0.38%  mc-lrumaint  memcached              [.] slabs_available_chunks               [.] pthread_mutex_unlock@plt             3                 
     0.38%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             36                
     0.38%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_lock                 [.] fill_item_stats_automove             23                
     0.38%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] fill_item_stats_automove             43                
     0.38%  mc-lrumaint  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt       [.] lru_maintainer_thread                45                
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] __intel_pmu_enable_all.constprop.23  [k] intel_pmu_pebs_enable_all            6                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] __intel_pmu_enable_all.constprop.23  [k] intel_pmu_lbr_enable_all             3                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] __intel_pmu_enable_all.constprop.23  [k] native_write_msr                     2                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] intel_pmu_handle_irq                 [k] __intel_pmu_enable_all.constprop.23  6                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] __intel_pmu_pebs_event               [k] intel_pmu_drain_pebs_nhm             3                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] intel_pmu_drain_pebs_nhm             [k] intel_pmu_handle_irq                 10                
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] intel_pmu_pebs_enable_all            [k] native_write_msr                     7                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] intel_pmu_lbr_enable_all             [k] __intel_pmu_enable_all.constprop.23  15                
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] sched_clock                          [k] nmi_handle                           1                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] sched_clock                          [k] native_sched_clock                   1                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] perf_event_output_forward            [k] perf_output_end                      1                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] perf_event_overflow                  [k] __intel_pmu_pebs_event               1                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] perf_output_end                      [k] perf_event_output_forward            1                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] perf_output_end                      [k] perf_output_put_handle               1                 
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] __indirect_thunk_start               [k] __indirect_thunk_start               1                 
     0.38%  memcached    [kernel.kallsyms]      [k] __intel_pmu_enable_all.constprop.23  [k] intel_pmu_lbr_enable_all             3                 
     0.38%  memcached    [kernel.kallsyms]      [k] __intel_pmu_enable_all.constprop.23  [k] native_write_msr                     2                 
     0.38%  memcached    [kernel.kallsyms]      [k] intel_pmu_handle_irq                 [k] native_read_msr                      2                 
