# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:ppp'
# Event count (approx.): 3789
#
# Overhead  Command       Source Shared Object  Source Symbol                                  Target Symbol                                  Basic Block Cycles
# ........  ............  ....................  .............................................  .............................................  ..................
#
     1.69%  redis-server  redis-server          [.] je_nstime_add                              [.] ctl_arena_stats_sdmerge                    1                 
     1.58%  redis-server  redis-server          [.] arenas_i_impl                              [.] ctl_refresh                                6                 
     1.45%  redis-server  redis-server          [.] databasesCron                              [.] tryResizeHashTables                        5                 
     1.40%  redis-server  redis-server          [.] je_nstime_compare                          [.] ctl_arena_stats_sdmerge                    2                 
     1.27%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_compare                          2                 
     1.13%  redis-server  [kernel.kallsyms]     [k] __indirect_thunk_start                     [k] __indirect_thunk_start                     1                 
     1.11%  redis-server  redis-server          [.] je_extents_nextents_get                    [.] je_arena_stats_merge                       1                 
     0.92%  redis-server  redis-server          [.] je_extents_nbytes_get                      [.] je_arena_stats_merge                       1                 
     0.79%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_extents_nbytes_get                      1                 
     0.71%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_compare                          1                 
     0.45%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_extents_nextents_get                    1                 
     0.45%  redis-server  [kernel.kallsyms]     [k] strlen                                     [k] seq_put_decimal_ull                        3                 
     0.42%  redis-server  redis-server          [.] ctl_lookup                                 [.] strlen@plt                                 3                 
     0.40%  redis-server  redis-server          [.] get_proc_stat_ll                           [.] strchr@plt                                 2                 
     0.40%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_extents_nextents_get                    2                 
     0.40%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_extents_nbytes_get                      2                 
     0.40%  redis-server  redis-server          [.] je_extents_npages_get                      [.] je_arena_stats_merge                       1                 
     0.37%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              6                 
     0.37%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_nstime_compare                          1                 
     0.37%  redis-server  redis-server          [.] je_nstime_compare                          [.] je_arena_stats_merge                       2                 
     0.34%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_nstime_add                              3                 
     0.34%  redis-server  redis-server          [.] ctl_refresh                                [.] arenas_i_impl                              4                 
     0.34%  redis-server  redis-server          [.] je_nstime_compare                          [.] ctl_arena_stats_sdmerge                    1                 
     0.34%  redis-server  redis-server          [.] je_nstime_add                              [.] je_arena_stats_merge                       1                 
     0.34%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] get_proc_stat_ll                           34                
     0.32%  redis-server  [kernel.kallsyms]     [k] put_dec                                    [k] num_to_str                                 1                 
     0.29%  redis-server  redis-server          [.] get_proc_stat_ll                           [.] strchr@plt                                 5                 
     0.29%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] pthread_mutex_unlock@plt                   10                
     0.29%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] memcpy                                     2                 
     0.26%  redis-server  redis-server          [.] getClientMemoryUsage                       [.] je_malloc_usable_size                      1                 
     0.26%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] get_proc_stat_ll                           49                
     0.26%  redis-server  [vdso]                [.] 0x00007ffc55ba898d                         [.] __vdso_gettimeofday                        39                
     0.26%  redis-server  [kernel.kallsyms]     [k] put_dec                                    [k] put_dec_trunc8                             3                 
     0.26%  redis-server  [kernel.kallsyms]     [k] memcpy_erms                                [k] seq_put_decimal_ull                        25                
     0.24%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              5                 
     0.24%  redis-server  redis-server          [.] trackInstantaneousMetric                   [.] gettimeofday@plt                           2                 
     0.24%  redis-server  redis-server          [.] je_malloc_usable_size                      [.] getClientMemoryUsage                       8                 
     0.24%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              13                
     0.24%  redis-server  libc-2.31.so          [.] 0x00007f7273b3aaeb                         [.] ctl_lookup                                 3                 
     0.24%  redis-server  [vdso]                [.] 0x00007ffc55ba898d                         [.] __vdso_gettimeofday                        38                
     0.24%  redis-server  [kernel.kallsyms]     [k] num_to_str                                 [k] put_dec                                    11                
     0.24%  redis-server  [kernel.kallsyms]     [k] _cond_resched                              [k] rcu_all_qs                                 2                 
     0.21%  redis-server  redis-server          [.] serverCron                                 [.] trackInstantaneousMetric                   1                 
     0.21%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_extents_npages_get                      1                 
     0.21%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              23                
     0.21%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] trackInstantaneousMetric                   18                
     0.21%  redis-server  [kernel.kallsyms]     [k] __indirect_thunk_start                     [k] cleanup_module                             3                 
     0.18%  redis-server  redis-server          [k] trackInstantaneousMetric                   [k] serverCron                                 57                
     0.18%  redis-server  redis-server          [.] je_background_thread_stats_read            [.] pthread_mutex_trylock@plt                  3                 
     0.18%  redis-server  redis-server          [.] ctl_lookup                                 [.] strncmp@plt                                2                 
     0.18%  redis-server  redis-server          [.] ctl_refresh                                [.] memset@plt                                 1                 
     0.18%  redis-server  [kernel.kallsyms]     [k] native_write_msr                           [k] intel_pmu_lbr_enable_all                   -                 
